Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
470,Yuta Watanabe\watanyu01,SF,26,TOR,24,1,12.0,0.9,2.8,.318,0.5,1.5,.371,0.3,1.3,.258,.417,0.4,0.4,.900,0.8,2.3,3.1,0.4,0.4,0.5,0.3,1.0,2.7
471,Tremont Waters\watertr01,PG,23,BOS,10,1,9.8,1.0,3.1,.323,0.6,1.5,.400,0.4,1.6,.250,.419,0.7,0.8,.875,0.2,0.6,0.8,3.0,0.6,0.0,1.3,0.6,3.3
472,Paul Watson\watsopa01,SF,26,TOR,18,0,6.8,0.9,2.0,.444,0.7,1.5,.444,0.2,0.5,.444,.611,0.0,0.0,,0.1,1.0,1.1,0.3,0.2,0.1,0.1,0.7,2.4
473,Quinndary Weatherspoon\weathqu01,SG,24,SAS,5,0,4.8,0.2,1.0,.200,0.0,0.2,.000,0.2,0.8,.250,.200,0.4,0.4,1.000,0.0,0.4,0.4,0.6,0.2,0.0,1.2,1.4,0.8
474,Russell Westbrook\westbru01,PG,32,WAS,30,30,34.4,8.2,18.8,.439,1.2,4.0,.308,7.0,14.8,.474,.472,3.4,6.0,.572,1.6,7.8,9.4,9.8,1.2,0.3,4.7,2.9,21.1
475,Coby White\whiteco01,PG,20,CHI,36,36,33.0,5.9,14.1,.415,2.4,6.8,.357,3.4,7.3,.470,.501,1.9,2.1,.896,0.5,4.4,4.9,5.0,0.4,0.1,2.3,2.6,16.1
476,Derrick White\whitede01,SG,26,SAS,10,6,24.1,4.2,10.6,.396,1.7,5.2,.327,2.5,5.4,.463,.476,1.6,2.0,.800,0.1,1.4,1.5,3.4,0.8,0.9,1.2,2.3,11.7
477,Hassan Whiteside\whiteha01,C,31,SAC,23,1,14.6,3.5,6.0,.580,0.0,0.0,.000,3.5,6.0,.584,.580,1.3,2.4,.545,1.6,4.2,5.7,0.5,0.3,1.3,1.0,1.8,8.3
478,Greg Whittington\whittgr01,PF,27,DEN,3,0,3.7,0.0,1.0,.000,0.0,0.7,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,Andrew Wiggins\wiggian01,PF,25,GSW,38,38,32.1,6.5,14.0,.462,1.7,5.0,.349,4.7,9.1,.523,.523,2.3,3.3,.683,1.1,3.5,4.6,2.2,0.8,1.1,1.8,2.3,16.9
480,Grant Williams\willigr01,PF,22,BOS,29,6,18.4,1.9,4.0,.462,0.9,2.1,.419,1.0,1.9,.509,.573,0.5,1.0,.517,1.0,2.0,3.0,0.9,0.5,0.4,0.9,2.8,5.1
481,Kenrich Williams\willike04,PF,26,OKC,38,6,19.1,2.7,4.8,.555,0.6,1.4,.396,2.1,3.4,.620,.613,0.4,0.8,.552,1.3,2.7,3.9,1.7,0.8,0.2,0.9,1.8,6.3
482,Lou Williams\willilo02,PG,34,LAC,36,3,22.4,4.5,10.6,.428,1.1,2.8,.400,3.4,7.8,.438,.480,2.4,2.8,.860,0.4,1.9,2.3,3.7,0.9,0.1,1.6,1.0,12.6
483,Patrick Williams\willipa01,PF,19,CHI,35,35,28.3,3.7,7.9,.464,0.9,2.3,.400,2.8,5.7,.490,.522,1.5,1.9,.779,0.9,3.7,4.6,1.2,0.7,0.7,1.5,2.2,9.8
484,Robert Williams\williro04,C,23,BOS,30,0,16.1,3.0,4.2,.706,0.0,0.0,.000,3.0,4.2,.712,.706,0.8,1.3,.641,2.3,3.5,5.8,1.2,0.9,1.6,0.9,1.8,6.8
485,Zion Williamson\willizi01,PF,20,NOP,36,36,32.6,9.8,16.0,.614,0.2,0.5,.316,9.6,15.4,.624,.619,5.7,8.2,.693,2.8,4.4,7.1,3.3,0.9,0.7,2.5,2.4,25.5
486,D.J. Wilson\wilsodj01,PF,24,MIL,12,0,8.8,1.3,3.6,.372,0.8,2.3,.357,0.5,1.3,.400,.488,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6
487,Dylan Windler\windldy01,SF,24,CLE,23,0,18.9,2.2,4.9,.455,1.0,2.9,.348,1.2,2.0,.609,.558,0.9,1.1,.808,0.8,3.3,4.1,1.2,0.7,0.4,1.0,1.3,6.3
